id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,quartile,day,day_of_week,bedrooms_flag,bathrooms_flag,waterfront_flag,view_flag,sqft_basement_flag,yr_renovated_flag,day_of_week_flag,house_age,yr_since_renovation,basement_ratio,living_lot_ratio,price_per_sqft,sqft_living_diff,sqft_lot_diff,above_ratio,total_rooms,bath_bed_ratio,overall_quality,luxury_score,grade_sqft_living,waterfront_view_interaction,rooms_per_floor
1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2015,4,2,3,4,1,1,0,0,1,0,1,50,,0.48,0.36,186.1,1350,871,0.52,5.5,0.83,24,8,28480,0,5.5
9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,2014,5,2,27,1,1,1,0,0,1,0,1,72,,0.26,0.19,403.45,170,0,0.74,3.0,0.5,28,7,8120,0,3.0
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,2014,5,2,28,2,1,1,0,0,0,0,1,87,,0.0,0.07,216.78,350,7204,1.0,4.0,0.33,28,7,10010,0,2.67
6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2014,10,4,7,1,1,1,0,0,0,0,1,37,,0.0,0.14,291.97,0,528,1.0,4.75,0.58,28,7,9590,0,4.75
1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,2015,3,1,12,3,1,1,0,0,0,0,1,115,,0.0,0.37,292.82,450,0,1.0,7.0,0.4,21,7,12670,0,4.67
9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,2015,1,1,24,5,1,1,0,1,1,0,1,36,,0.33,0.59,220.34,810,1000,0.67,7.0,0.75,27,9,26550,0,3.5
1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,2014,7,3,31,3,1,1,0,0,0,0,1,20,,0.0,0.13,208.99,0,22,1.0,5.0,0.67,21,7,13230,0,2.5
6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,2014,5,2,29,3,1,1,0,0,0,0,1,98,,0.0,0.37,303.12,10,0,1.0,5.0,0.25,28,7,11200,0,3.33
16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2014,12,4,5,4,1,1,0,0,0,0,1,93,,0.0,0.12,157.5,140,4755,1.0,3.0,0.5,28,7,8400,0,3.0
7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,2015,4,2,24,4,1,1,0,0,0,0,1,46,,0.0,0.13,184.0,30,924,1.0,4.0,0.33,28,7,8750,0,4.0
6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,2014,5,2,14,2,1,1,0,0,1,0,1,67,,0.47,0.33,237.65,220,0,0.53,5.75,0.44,28,7,11340,0,5.75
2524049179,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,2014,8,3,26,1,1,1,0,1,1,0,1,46,,0.24,0.07,655.74,1060,24531,0.76,5.75,0.92,27,9,27450,0,5.75
7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,2014,7,3,3,3,1,1,0,0,0,0,1,19,,0.0,0.36,125.55,30,705,1.0,7.5,0.5,24,8,18160,0,3.75
8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,2014,5,2,16,4,1,1,0,0,0,0,1,29,,0.0,0.11,236.17,150,1257,1.0,3.5,0.75,21,7,7490,0,3.5
3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,2014,11,4,20,3,1,1,0,0,0,0,1,29,,0.0,0.38,134.29,250,365,1.0,5.25,0.75,32,8,19600,0,2.62
1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2014,11,4,3,0,1,1,0,0,0,0,0,73,,0.0,0.36,136.26,680,8,1.0,5.0,0.67,30,6,10260,0,3.33
1794500383,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,2014,6,2,26,3,1,1,0,0,1,0,1,99,,0.29,0.91,382.45,690,882,0.71,4.75,0.58,24,8,19600,0,2.38
3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,2014,12,4,1,0,1,1,0,0,0,0,0,105,,0.0,0.89,476.43,460,2280,1.0,4.0,0.33,40,8,11200,0,2.67
5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,2014,6,2,24,1,1,1,0,0,1,0,1,66,,0.48,0.24,288.16,0,145,0.52,4.75,0.58,21,7,10640,0,4.75
1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,2015,3,1,2,0,1,1,0,0,0,0,0,10,,0.0,0.36,279.77,60,1147,1.0,6.5,0.62,24,8,20560,0,3.25
8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,2014,11,4,10,0,1,1,0,0,0,0,0,11,,0.0,0.58,250.22,260,0,1.0,5.5,0.83,24,8,18560,0,2.75
2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,2014,12,4,1,0,1,1,0,0,0,0,0,9,,0.0,0.94,235.29,200,491,1.0,3.5,0.75,21,7,8330,0,1.17
461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,2014,6,2,24,1,1,1,0,0,1,0,1,85,,0.35,0.47,295.06,870,0,0.65,5.75,0.44,28,7,16310,0,3.83
7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,2014,11,4,10,0,1,1,0,0,0,0,0,85,,0.0,0.36,490.83,480,2080,1.0,4.0,0.33,32,8,8720,0,2.67
7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2014,12,4,3,2,1,1,0,0,1,0,1,33,,0.38,0.31,156.55,40,2061,0.62,6.75,0.69,21,7,14420,0,6.75
9547205180,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,2014,6,2,13,4,1,1,0,0,1,1,1,84,12.0,0.34,0.75,302.61,710,204,0.66,5.5,0.83,24,8,18400,0,3.67
9435300030,2014-05-28,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,2014,5,2,28,2,1,1,0,0,1,0,1,81,,0.44,0.05,331.33,500,23381,0.56,5.0,0.25,5,5,8300,0,5.0
2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,2014,12,4,30,1,1,1,0,0,0,0,1,110,,0.0,0.39,271.19,630,1300,1.0,6.0,0.5,32,8,18880,0,3.0
7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,2015,2,1,13,4,1,1,0,0,1,0,1,46,,0.27,0.15,196.72,70,275,0.73,5.0,0.25,14,7,8540,0,5.0
2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,2014,6,2,20,4,1,1,0,0,0,0,1,18,,0.0,0.35,230.92,0,4331,1.0,6.5,0.62,24,8,20960,0,3.25
5547700270,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,2014,7,3,15,1,1,1,0,0,0,0,1,14,,0.0,0.47,243.19,100,149,1.0,6.5,0.62,27,9,23130,0,3.25
7766200013,2014-08-11,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,2014,8,3,11,0,1,1,0,0,1,0,0,30,,0.38,0.17,183.65,1810,6431,0.62,6.25,0.56,24,8,33760,0,6.25
7203220400,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,2014,7,3,7,0,1,1,0,0,0,0,0,0,,0.0,0.64,239.77,30,0,1.0,7.75,0.55,27,9,32355,0,3.88
9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,2014,10,4,28,1,1,1,0,0,0,0,1,92,,0.0,0.69,436.31,10,360,1.0,4.0,0.33,21,7,10990,0,2.0
1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,2014,7,3,29,1,1,1,0,0,1,0,1,55,,0.28,0.13,241.41,60,848,0.72,4.0,0.33,24,6,7680,0,4.0
8035350320,2014-07-18,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,2014,7,3,18,4,1,1,0,0,0,0,1,11,,0.0,0.23,154.43,110,4371,1.0,5.5,0.83,24,8,25280,0,2.75
8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2015,3,1,25,2,1,1,0,0,0,0,1,49,,0.0,0.12,212.62,238,312,1.0,4.0,0.33,18,6,5940,0,4.0
4178300310,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,2014,7,3,16,2,1,1,0,0,0,0,1,33,,0.0,0.17,342.79,390,269,1.0,6.5,0.62,36,9,20610,0,3.25
9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,2015,4,2,28,1,1,1,0,0,0,0,1,62,,0.0,0.21,360.0,280,863,1.0,4.75,0.58,28,7,8750,0,4.75
822039084,2015-03-11,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,2015,3,1,11,2,1,1,1,1,1,0,1,62,,0.21,0.04,490.37,73,7508,0.79,5.5,0.83,45,10,24777,2,5.5
5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,2014,9,3,16,1,1,1,0,0,0,0,1,59,,0.0,0.13,191.6,0,165,1.0,4.0,0.33,21,7,8330,0,4.0
7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2015,2,1,17,1,1,1,0,0,1,0,1,49,,0.48,0.34,109.52,1160,1,0.52,7.5,0.5,32,8,25200,0,7.5
7518505990,2014-12-31,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,2014,12,4,31,2,1,1,0,0,1,0,1,64,,0.29,0.35,425.53,0,0,0.71,4.75,0.58,28,7,9870,0,4.75
3626039271,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,2015,2,1,5,3,1,1,0,0,1,0,1,34,,0.5,0.23,295.45,500,1812,0.5,3.75,0.88,21,7,13860,0,3.75
4217401195,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,2015,3,1,3,1,1,1,0,0,1,0,1,88,,0.22,0.46,337.0,0,0,0.78,7.25,0.45,24,8,21840,0,4.83
9822700295,2014-05-12,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,2014,5,2,12,0,1,1,0,0,0,0,0,19,,0.0,0.57,312.72,880,0,1.0,6.5,0.62,27,9,25470,0,3.25
9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,2014,8,3,19,1,1,1,0,0,0,0,1,6,,0.0,0.5,130.0,0,5,1.0,6.5,0.62,21,7,15750,0,3.25
2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,2015,4,2,7,1,1,1,0,0,0,0,1,12,,0.0,0.51,124.38,270,0,1.0,5.5,0.83,24,8,19360,0,2.75
7922800400,2014-08-27,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,2014,8,3,27,2,1,1,0,1,0,0,1,46,,0.0,0.23,292.62,290,3298,1.0,8.25,0.65,32,8,26000,0,4.12
8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,2015,2,1,23,0,1,1,0,0,0,0,0,24,,0.0,0.19,232.43,420,1434,1.0,7.0,0.75,24,8,14800,0,3.5
1516000055,2014-12-10,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,2014,12,4,10,2,1,1,0,1,1,0,1,55,,0.26,0.1,302.33,420,2335,0.74,5.25,0.75,32,8,17200,0,5.25
9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,2014,8,3,28,3,1,1,0,0,0,0,1,60,,0.0,0.15,229.37,30,350,1.0,4.75,0.58,21,7,8820,0,4.75
5072410070,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,2014,10,4,21,1,1,1,0,0,0,0,1,41,,0.0,0.29,200.48,19,810,1.0,4.75,0.58,40,8,20152,0,2.38
9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,2014,12,4,7,6,1,1,0,0,0,0,1,0,,0.0,1.48,356.49,40,2046,1.0,4.75,0.58,24,8,12320,0,1.58
1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,2014,6,2,3,1,1,1,0,0,1,0,1,35,,0.33,0.28,256.02,220,1920,0.67,5.25,0.75,21,7,11620,0,5.25
3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,2014,11,4,20,3,1,1,0,0,1,0,1,89,,0.36,0.73,114.67,1330,191,0.64,5.75,0.92,35,7,19390,0,3.83
3394100030,2014-09-09,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,2014,9,3,9,1,1,1,0,0,0,0,1,25,,0.0,0.25,358.46,30,0,1.0,6.5,0.62,30,10,27200,0,3.25
3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,2014,10,4,9,3,1,1,0,0,0,0,1,9,,0.0,0.48,128.12,19,91,1.0,6.5,0.62,21,7,15680,0,3.25
1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2014,8,3,25,0,1,1,0,0,0,0,0,46,,0.0,0.08,204.0,10,565,1.0,4.0,0.33,28,7,7000,0,4.0
1802000060,2014-06-12,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,2014,6,2,12,3,1,1,0,0,1,0,1,49,,0.5,0.16,414.06,190,0,0.5,7.25,0.45,24,8,25600,0,7.25
1525059190,2014-09-12,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,2014,9,3,12,4,1,1,0,0,1,0,1,41,,0.36,0.1,218.03,1240,11177,0.64,8.25,0.65,44,11,52470,0,8.25
1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2015,1,1,5,0,1,1,0,0,0,0,0,43,,0.0,0.22,257.94,380,867,1.0,5.0,0.67,28,7,8820,0,5.0
8820901275,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,2014,6,2,10,1,1,1,0,0,1,0,1,98,,0.18,0.35,207.64,1240,0,0.82,6.0,0.5,35,7,19250,0,4.0
5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,2014,7,3,10,3,1,1,0,0,0,0,1,9,,0.0,0.48,151.26,40,0,1.0,6.5,0.62,24,8,19040,0,3.25
3444100400,2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2015,3,1,16,0,1,1,0,0,1,0,0,50,,0.39,0.04,194.97,150,0,0.61,4.75,0.58,35,7,12530,0,4.75
3276920270,2014-11-05,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,2014,11,4,5,2,1,1,0,0,1,0,1,28,,0.3,0.1,242.71,190,82,0.7,8.0,1.0,40,10,34300,0,4.0
4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2014,10,4,13,0,1,1,0,0,1,0,0,58,,0.5,0.24,215.91,80,200,0.5,5.75,0.44,21,7,12320,0,5.75
2391600320,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,2015,4,2,20,0,1,1,0,0,0,0,0,74,,0.0,0.21,461.54,150,0,1.0,4.0,0.33,21,7,7280,0,4.0
6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,2014,6,2,9,0,1,1,0,0,1,0,0,58,,0.35,0.28,290.78,280,633,0.65,4.0,0.33,28,7,9870,0,4.0
1531000030,2015-03-23,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,2015,3,1,23,0,1,1,0,0,0,0,0,13,,0.0,0.09,208.7,100,67,1.0,6.5,0.62,30,10,34500,0,3.25
5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,2014,12,4,2,1,1,1,0,0,0,0,1,11,,0.0,0.46,165.96,0,263,1.0,5.5,0.83,24,8,18800,0,2.75
7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,2014,12,4,22,0,1,1,0,0,0,0,0,22,,0.0,0.32,189.47,30,516,1.0,6.5,0.62,21,7,13300,0,3.25
9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,2014,10,4,28,1,1,1,0,0,1,0,1,66,,0.5,0.3,175.74,300,0,0.5,3.0,0.5,21,7,14140,0,3.0
1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2015,1,1,28,2,1,1,0,0,0,0,1,51,,0.0,0.19,211.9,170,85,1.0,4.5,0.5,24,8,13440,0,4.5
1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,2014,6,2,2,0,1,1,0,0,0,0,0,62,,0.0,0.14,328.12,610,569,1.0,4.0,0.33,18,6,5760,0,4.0
4232902595,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,2014,11,4,14,4,1,1,0,0,1,0,1,89,,0.11,0.59,439.25,120,1200,0.89,4.5,0.5,27,9,19260,0,2.25
2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2014,11,4,3,0,1,1,0,0,0,0,0,53,,0.0,0.32,114.66,1070,235,1.0,7.25,0.45,35,7,18620,0,4.83
3342103156,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,2014,6,2,18,2,1,1,0,0,1,0,1,8,,0.29,0.44,166.43,870,1071,0.71,6.25,1.08,27,9,24930,0,3.12
1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,2014,5,2,19,0,1,1,0,0,0,0,0,35,,0.0,0.79,133.54,340,15,1.0,4.25,1.12,28,7,11270,0,2.12
3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,2014,9,3,4,3,1,1,0,0,1,0,1,8,,0.26,0.97,325.24,0,40,0.74,3.75,0.88,21,7,7210,0,1.88
2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,2014,5,2,22,3,1,1,0,0,0,0,1,26,,0.0,0.27,122.98,0,107,1.0,6.5,0.62,21,7,13860,0,3.25
5036300431,2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,2015,3,1,11,2,1,1,0,0,0,0,1,14,,0.0,0.55,312.47,1000,103,1.0,7.75,0.55,40,10,35200,0,3.88
4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2015,2,1,26,3,1,1,0,0,0,0,1,53,,0.0,0.11,127.5,150,0,1.0,4.0,0.33,21,7,8400,0,4.0
6021501535,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,7,3,25,4,1,1,0,0,1,0,1,75,,0.18,0.32,272.15,10,500,0.82,4.5,0.5,24,8,12640,0,4.5
6021501535,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,12,4,23,1,1,1,0,0,1,0,1,75,,0.18,0.32,443.04,10,500,0.82,4.5,0.5,24,8,12640,0,4.5
1483300570,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,2014,9,3,8,0,1,1,0,0,1,1,0,68,23.0,0.28,0.32,274.24,1350,4205,0.72,6.5,0.62,21,7,23100,0,6.5
