id,yr_sale,m_sale,qr_sale,season_sold,price,price_tier,price_per_sqft,bedrooms,bathrooms,total_bed_bath,bath_per_bed,sqft_living,sqft_lot,lot_size_acres,floors,multi_story,waterfront,view_flag,condition,grade,has_basement,yr_built,house_age_yrs,was_renovated,yrs_since_renovation,pct_size_vs_neighbors,zipcode,lat,long
1794500383,2014,6,2,Spring,937000,Upper,382,3,1.75,4.75,0.58,2450,2691,0.06,2,Yes,No,No,3,8,Yes,1915,99,No,99,39.2,98119,47.6386,-122.36
3303700376,2014,12,4,Winter,667000,Upper,476,3,1,4,0.33,1400,1581,0.04,1.5,Yes,No,No,5,8,No,1909,105,No,105,-24.7,98112,47.6221,-122.314
5101402488,2014,6,2,Spring,438000,Mid,288,3,1.75,4.75,0.58,1520,6380,0.15,1,No,No,No,3,7,Yes,1948,66,No,66,0.0,98115,47.695,-122.304
1873100390,2015,3,1,Winter,719000,Upper,280,4,2.5,6.5,0.63,2570,7173,0.16,2,Yes,No,No,3,8,No,2005,10,No,10,-2.3,98052,47.7073,-122.11
8562750320,2014,11,4,Fall,580500,Mid,250,3,2.5,5.5,0.83,2320,3980,0.09,2,Yes,No,No,3,8,No,2003,11,No,11,-10.1,98027,47.5391,-122.07
2426039314,2014,12,4,Winter,280000,Entry,235,2,1.5,3.5,0.75,1190,1265,0.03,3,Yes,No,No,3,7,No,2005,9,No,9,-14.4,98133,47.7274,-122.357
0461000390,2014,6,2,Spring,687500,Upper,295,4,1.75,5.75,0.44,2330,5000,0.11,1.5,Yes,No,No,4,7,Yes,1929,85,No,85,59.6,98117,47.6823,-122.368
7589200193,2014,11,4,Fall,535000,Mid,491,3,1,4,0.33,1090,3000,0.07,1.5,Yes,No,No,4,8,No,1929,85,No,85,-30.6,98117,47.6889,-122.375
7955080270,2014,12,4,Winter,322500,Mid,157,4,2.75,6.75,0.69,2060,6659,0.15,1,No,No,No,3,7,Yes,1981,33,No,33,2.0,98058,47.4276,-122.157
9547205180,2014,6,2,Spring,696000,Upper,303,3,2.5,5.5,0.83,2300,3060,0.07,1.5,Yes,No,No,3,8,Yes,1930,84,Yes,12,44.7,98115,47.6827,-122.31
9435300030,2014,5,2,Spring,550000,Mid,331,4,1,5,0.25,1660,34848,0.8,1,No,No,No,1,5,Yes,1933,81,No,81,-23.1,98052,47.6621,-122.132
2768000400,2014,12,4,Winter,640000,Upper,271,4,2,6,0.5,2360,6000,0.14,2,Yes,No,No,4,8,No,1904,110,No,110,36.4,98107,47.6702,-122.362
7895500070,2015,2,1,Winter,240000,Entry,197,4,1,5,0.25,1220,8075,0.19,1,No,No,No,2,7,Yes,1969,46,No,46,-5.4,98001,47.3341,-122.282
2078500320,2014,6,2,Spring,605000,Upper,231,4,2.5,6.5,0.63,2620,7553,0.17,2,Yes,No,No,3,8,No,1996,18,No,18,0.0,98056,47.5301,-122.18
5547700270,2014,7,3,Summer,625000,Upper,243,4,2.5,6.5,0.63,2570,5520,0.13,2,Yes,No,No,3,9,No,2000,14,No,14,4.0,98074,47.6145,-122.027
7766200013,2014,8,3,Summer,775000,Upper,184,4,2.25,6.25,0.56,4220,24186,0.56,1,No,No,No,3,8,Yes,1984,30,No,30,75.1,98166,47.445,-122.347
7203220400,2014,7,3,Summer,861990,Upper,240,5,2.75,7.75,0.55,3595,5639,0.13,2,Yes,No,No,3,9,No,2014,0,No,0,-0.8,98053,47.6848,-122.016
9270200160,2014,10,4,Fall,685000,Upper,436,3,1,4,0.33,1570,2280,0.05,2,Yes,No,No,3,7,No,1922,92,No,92,-0.6,98119,47.6413,-122.364
1432701230,2014,7,3,Summer,309000,Mid,241,3,1,4,0.33,1280,9656,0.22,1,No,No,No,4,6,Yes,1959,55,No,55,-4.5,98058,47.4485,-122.175
8035350320,2014,7,3,Summer,488000,Mid,154,3,2.5,5.5,0.83,3160,13603,0.31,2,Yes,No,No,3,8,No,2003,11,No,11,3.6,98019,47.7443,-121.977
8945200830,2015,3,1,Winter,210490,Entry,213,3,1,4,0.33,990,8528,0.2,1,No,No,No,3,6,No,1966,49,No,49,-19.4,98023,47.3066,-122.371
4178300310,2014,7,3,Summer,785000,Upper,343,4,2.5,6.5,0.63,2290,13416,0.31,2,Yes,No,No,4,9,No,1981,33,No,33,-14.6,98007,47.6194,-122.151
9215400105,2015,4,2,Spring,450000,Mid,360,3,1.75,4.75,0.58,1250,5963,0.14,1,No,No,No,4,7,No,1953,62,No,62,28.9,98115,47.6796,-122.301
0822039084,2015,3,1,Winter,1350000,Luxury,490,3,2.5,5.5,0.83,2753,65005,1.49,1,No,Yes,Yes,5,9,Yes,1953,62,No,62,2.7,98070,47.4041,-122.451
